Interval,ta,ppl,spl,co2,time
,25.13041796,14.43080878,45.62818743,561.0631059,
00:00:00,24.71098,11.76133333,54.22,597.5626667,09:00:00
00:30:00,24.77848663,11.92367906,54.9915199,628.62818,09:30:00
01:00:00,24.82594297,12.11989631,56.404407,651.2637719,10:00:00
01:30:00,24.84113342,12.27072539,56.08354922,658.2189119,10:30:00
02:00:00,24.85176853,12.39661899,54.79453836,646.7997399,11:00:00
02:30:00,24.86277598,12.62362815,54.27953518,642.4293092,11:30:00
03:00:00,24.85614637,12.87111399,53.34585492,637.1398964,12:00:00
03:30:00,24.84827653,13.02958199,53.16784566,639.9633441,12:30:00
04:00:00,24.82197428,13.22636656,54.20064309,645.6327974,13:00:00
04:30:00,24.7496576,13.26032226,53.26032226,653.2064451,13:30:00
05:00:00,24.76300151,13.55656109,54.00653595,657.794369,14:00:00
05:30:00,24.78541562,13.73652393,54.17329975,659.981864,14:30:00
06:00:00,24.82414931,13.97917725,53.95987811,663.2432707,15:00:00
06:30:00,24.82029919,14.23732252,52.9984787,654.0476673,15:30:00
07:00:00,24.79659681,14.28592814,52.36976048,649.4261477,16:00:00
07:30:00,24.74923311,14.32351447,50.30167598,638.7805993,16:30:00
08:00:00,24.69421158,13.85229541,50.0489022,649.6407186,17:00:00
08:30:00,24.75141397,14.80068143,51.05621806,696.560477,17:30:00
09:00:00,24.94646817,16.24229979,51.05954825,722.761807,18:00:00
09:30:00,24.96476091,16.64656965,51.46985447,722.2099792,18:30:00
10:00:00,25.04226293,17.25,51.36637931,720.4116379,19:00:00:00
10:30:00,25.0714862,17.70063694,51.61995754,718.5138004,19:30:00
11:00:00,25.03992898,17.53693182,51.52982955,721.6576705,20:00:00
11:30:00,24.98157143,17.76071429,51.51071429,728.8214286,20:30:00
12:00:00,25.05334047,18.83940043,49.24625268,699.8179872,21:00:00
12:30:00,24.82695652,17.26086957,50.67391304,725.3478261,21:30:00
13:00:00,23.84333333,10,56.08333333,853.5833333,22:00:00
13:30:00,23.93428571,10,58.26190476,789.547619,22:30:00
14:00:00,23.7575,10,54.33333333,822.6666667,23:00:00
14:30:00,23.63375,10,49.25,797.875,23:30:00
21:30:00,24.92,10,52,554.5,06:30:00
22:00:00,25.09375,10,58.5,506,07:00:00
22:30:00,24.88904762,10,57.76190476,546.9285714,07:30:00
23:00:00,24.94652174,10,51.86956522,523.5652174,08:00:00
23:30:00,25.12704545,11.29545455,51.81818182,548.1136364,08:30:00
Grand Total,25.02311158,14.17521279,48.3003633,593.7253789,
