serial_no,floor_level,zone_id,date,time,ta,ta_runningAverage,tg,tg_runningAverage,rh,rh_runningAverage,a_s,a_s_runningAverage
416C1935,30,8,2019-05-15,10:10:00,22.52,22.52,23.09,23.09,46,46,0.01,0.01
416C1935,30,8,2019-05-16,12:50:00,22.24,22.38,22.99,23.04,55,50.5,0.022,0.016
416C1935,30,8,2019-05-16,12:55:00,22.39,22.38333333,23.11,23.06333333,54,51.66666667,0.038,0.02333333333
416C1935,30,8,2019-05-16,13:00:00,22.52,22.4175,23.17,23.09,54,52.25,0.038,0.027
416C1935,30,8,2019-05-16,13:05:00,22.65,22.464,23.25,23.122,53,52.4,0.039,0.0294
416C1935,30,8,2019-05-16,13:10:00,22.73,22.50833333,23.31,23.15333333,52,52.33333333,0.036,0.0305
416C1935,30,8,2019-05-16,13:15:00,22.84,22.55571429,23.4,23.18857143,51,52.14285714,0.014,0.02814285714
416C1935,30,8,2019-05-16,13:20:00,22.92,22.60125,23.41,23.21625,51,52,0.059,0.032
416C1935,30,8,2019-05-16,13:25:00,22.97,22.64222222,23.49,23.24666667,50,51.77777778,0.037,0.03255555556
416C1935,30,8,2019-05-16,13:30:00,23.02,22.68,23.51,23.273,50,51.6,0.035,0.0328
416C1935,30,8,2019-05-16,13:35:00,23.09,22.71727273,23.57,23.3,49,51.36363636,0.039,0.03336363636
416C1935,30,8,2019-05-16,13:40:00,23.12,22.75083333,23.6,23.325,49,51.16666667,0.028,0.03291666667
416C1935,30,8,2019-05-16,13:45:00,23.17,22.78307692,23.63,23.34846154,49,51,0.014,0.03146153846
416C1935,30,8,2019-05-16,13:50:00,23.2,22.81285714,23.67,23.37142857,48,50.78571429,0.018,0.0305
416C1935,30,8,2019-05-16,13:55:00,23.25,22.842,23.69,23.39266667,48,50.6,0.026,0.0302
416C1935,30,8,2019-05-16,14:00:00,23.25,22.8675,23.67,23.41,48,50.4375,0.024,0.0298125
416C1935,30,8,2019-05-16,14:05:00,23.28,22.89176471,23.7,23.42705882,48,50.29411765,0.022,0.02935294118
416C1935,30,8,2019-05-16,14:10:00,23.3,22.91444444,23.73,23.44388889,47,50.11111111,0.027,0.02922222222
416C1935,30,8,2019-05-16,14:15:00,23.33,22.93631579,23.75,23.46,47,49.94736842,0.053,0.03047368421
416C1935,30,8,2019-05-16,14:20:00,23.35,22.957,23.71,23.4725,47,49.8,0.046,0.03125
416C1935,30,8,2019-05-16,14:20:00,23.35,22.97571429,23.71,23.48380952,47,49.66666667,0.046,0.03195238095
416C1935,30,8,2019-05-16,14:25:00,23.37,22.99363636,23.74,23.49545455,47,49.54545455,0.026,0.03168181818
416C1935,30,8,2019-05-16,14:30:00,23.34,23.00869565,23.74,23.50608696,47,49.43478261,0.051,0.03252173913
416C1935,30,8,2019-05-16,14:35:00,23.31,23.02125,23.71,23.51458333,47,49.33333333,0.057,0.03354166667
416C1935,30,8,2019-05-16,14:40:00,23.37,23.0352,23.73,23.5232,47,49.24,0.04,0.0338
416C1935,30,8,2019-05-16,14:45:00,23.4,23.04923077,23.74,23.53153846,46,49.11538462,0.035,0.03384615385
416C1935,30,8,2019-05-16,14:50:00,23.39,23.06185185,23.71,23.53814815,46,49,0.072,0.03525925926
416C1935,30,8,2019-05-16,14:55:00,23.39,23.07357143,23.7,23.54392857,46,48.89285714,0.065,0.03632142857
416C1935,30,8,2019-05-16,15:00:00,23.36,23.08344828,23.68,23.54862069,46,48.79310345,0.071,0.03751724138
416C1935,30,8,2019-05-16,15:05:00,23.35,23.09233333,23.68,23.553,45,48.66666667,0.076,0.0388
416C1935,30,8,2019-05-16,15:10:00,23.34,23.10032258,23.67,23.55677419,45,48.5483871,0.062,0.0395483871
416C1935,30,8,2019-05-16,15:15:00,23.35,23.108125,23.69,23.5609375,45,48.4375,0.063,0.04028125
416C1935,30,8,2019-05-16,15:20:00,23.35,23.11545455,23.68,23.56454545,45,48.33333333,0.064,0.041
416C1935,30,8,2019-05-16,15:25:00,23.34,23.12205882,23.66,23.56735294,45,48.23529412,0.056,0.04144117647
416C1935,30,8,2019-05-16,15:30:00,23.37,23.12914286,23.63,23.56914286,45,48.14285714,0.064,0.04208571429
416C1935,30,8,2019-05-16,15:35:00,23.36,23.13555556,23.58,23.56944444,44,48.02777778,0.064,0.04269444444
416C1935,30,8,2019-05-16,15:40:00,23.34,23.14108108,23.61,23.57054054,44,47.91891892,0.052,0.04294594595
416C1935,30,8,2019-05-16,15:45:00,23.34,23.14631579,23.59,23.57105263,44,47.81578947,0.064,0.0435
416C1935,30,8,2019-05-16,15:50:00,23.33,23.15102564,23.57,23.57102564,44,47.71794872,0.058,0.04387179487
416C1935,30,8,2019-05-16,15:55:00,23.33,23.1555,23.58,23.57125,44,47.625,0.045,0.0439
416C1935,30,8,2019-05-16,16:00:00,23.34,23.16,23.6,23.57195122,45,47.56097561,0.06,0.04429268293
416C1935,30,8,2019-05-16,16:05:00,23.3,23.16333333,23.53,23.57095238,45,47.5,0.049,0.0444047619
416C1935,30,8,2019-05-16,16:10:00,23.25,23.16534884,23.48,23.56883721,45,47.44186047,0.058,0.04472093023
416C1935,30,8,2019-05-16,16:15:00,23.27,23.16772727,23.54,23.56818182,45,47.38636364,0.027,0.04431818182
416C1935,30,8,2019-05-16,16:20:00,23.28,23.17022222,23.59,23.56866667,45,47.33333333,0.031,0.04402222222
416C1935,30,8,2019-05-16,16:25:00,23.3,23.17304348,23.6,23.56934783,45,47.2826087,0.061,0.04439130435
416C1935,30,8,2019-05-16,16:30:00,23.3,23.17574468,23.62,23.57042553,46,47.25531915,0.046,0.04442553191
416C1935,30,8,2019-05-16,16:35:00,23.3,23.17833333,23.59,23.57083333,46,47.22916667,0.045,0.0444375
416C1935,30,8,2019-05-16,16:40:00,23.26,23.18,23.49,23.56918367,46,47.20408163,0.036,0.04426530612
416C1935,30,8,2019-05-16,16:45:00,23.19,23.1802,23.39,23.5656,46,47.18,0.051,0.0444
416C1935,30,8,2019-05-16,16:50:00,23.17,23.18,23.39,23.56215686,46,47.15686275,0.056,0.04462745098
416C1935,30,8,2019-05-16,16:55:00,23.17,23.17980769,23.43,23.55961538,46,47.13461538,0.045,0.04463461538
416C1935,30,8,2019-05-16,16:55:00,23.17,23.17962264,23.43,23.55716981,46,47.11320755,0.045,0.04464150943
416C1935,30,8,2019-05-16,17:00:00,23.18,23.17962963,23.46,23.55537037,47,47.11111111,0.044,0.04462962963
416C1935,30,8,2019-05-16,17:05:00,23.19,23.17981818,23.45,23.55345455,47,47.10909091,0.025,0.04427272727
416C1935,30,8,2019-05-16,17:10:00,23.2,23.18017857,23.47,23.55196429,47,47.10714286,0.027,0.04396428571
416C1935,30,8,2019-05-16,17:15:00,23.21,23.18070175,23.45,23.55017544,47,47.10526316,0.051,0.0440877193
416C1935,30,8,2019-05-16,17:20:00,23.19,23.18086207,23.42,23.54793103,47,47.10344828,0.062,0.04439655172
416C1935,30,8,2019-05-16,17:25:00,23.16,23.18050847,23.41,23.54559322,47,47.10169492,0.027,0.04410169492
416C1935,30,8,2019-05-16,17:30:00,23.13,23.17966667,23.39,23.543,47,47.1,0.042,0.04406666667
