Entity,Code,Year,Population
Afghanistan,AFG,2020,48.68452072
Albania,ALB,2020,49.10299683
Algeria,DZA,2020,49.47940445
Angola,AGO,2020,50.52413559
Antigua and Barbuda,ATG,2020,51.73086166
Argentina,ARG,2020,51.21414566
Armenia,ARM,2020,52.96533966
Aruba,ABW,2020,52.56729507
Australia,AUS,2020,50.20123672
Austria,AUT,2020,50.70515442
Azerbaijan,AZE,2020,50.04855728
Bahamas,BHS,2020,51.40649033
Bahrain,BHR,2020,35.32645798
Bangladesh,BGD,2020,49.44476318
Barbados,BRB,2020,51.60124207
Belarus,BLR,2020,53.44250488
Belgium,BEL,2020,50.4355011
Belize,BLZ,2020,50.26394653
Benin,BEN,2020,50.06063461
Bhutan,BTN,2020,46.85321045
Bolivia,BOL,2020,49.81577682
Bosnia and Herzegovina,BIH,2020,51.0301857
Botswana,BWA,2020,51.56119537
Brazil,BRA,2020,50.86748505
Brunei,BRN,2020,48.115242
Bulgaria,BGR,2020,51.44063187
Burkina Faso,BFA,2020,50.03313446
Burundi,BDI,2020,50.38287354
Cambodia,KHM,2020,51.17866898
Cameroon,CMR,2020,49.98439407
Canada,CAN,2020,50.36802292
Cape Verde,CPV,2020,49.79801559
Central African Republic,CAF,2020,50.43149185
Chad,TCD,2020,50.07767868
Channel Islands,OWID_CIS,2020,50.49436569
Chile,CHL,2020,50.69279099
China,CHN,2020,48.70873642
Colombia,COL,2020,50.89789963
Comoros,COM,2020,49.556633
Congo,COG,2020,50.04291153
Costa Rica,CRI,2020,50.03888702
Cote d'Ivoire,CIV,2020,49.5782814
Croatia,HRV,2020,51.78653336
Cuba,CUB,2020,50.35173798
Curacao,CUW,2020,54.01036072
Cyprus,CYP,2020,50.01379013
Czechia,CZE,2020,50.76542282
Democratic Republic of Congo,COD,2020,50.07875061
Denmark,DNK,2020,50.28901672
Djibouti,DJI,2020,47.47045135
Dominican Republic,DOM,2020,50.05296707
East Asia and Pacific,,2020,49.33444977
Ecuador,ECU,2020,49.98698044
Egypt,EGY,2020,49.47655869
El Salvador,SLV,2020,53.18640137
Equatorial Guinea,GNQ,2020,44.37716675
Estonia,EST,2020,52.62438583
Eswatini,SWZ,2020,50.84867477
Ethiopia,ETH,2020,49.96951675
Europe and Central Asia,,2020,51.49367523
European Union,,2020,51.10490799
Fiji,FJI,2020,49.35344696
Finland,FIN,2020,50.6849823
France,FRA,2020,51.60487747
French Polynesia,PYF,2020,49.35600662
Gabon,GAB,2020,49.10186768
Gambia,GMB,2020,50.4051857
Georgia,GEO,2020,52.34034729
Germany,DEU,2020,50.56820297
Ghana,GHA,2020,49.31282043
Greece,GRC,2020,50.91817474
Grenada,GRD,2020,49.6387291
Guam,GUM,2020,49.55653
Guatemala,GTM,2020,50.72938919
Guinea,GIN,2020,51.62312698
Guinea-Bissau,GNB,2020,51.08251953
Guyana,GUY,2020,49.71146393
Haiti,HTI,2020,50.65618134
High income,,2020,50.17033768
Honduras,HND,2020,50.03456879
Hong Kong,HKG,2020,54.11936188
Hungary,HUN,2020,52.40039825
Iceland,ISL,2020,49.77142715
India,IND,2020,48.03632736
Indonesia,IDN,2020,49.65046692
Iran,IRN,2020,49.50956726
Iraq,IRQ,2020,49.38709259
Ireland,IRL,2020,50.35540009
Israel,ISR,2020,50.22706223
Italy,ITA,2020,51.31188202
Jamaica,JAM,2020,50.36943436
Japan,JPN,2020,51.17427826
Jordan,JOR,2020,49.36873245
Kazakhstan,KAZ,2020,51.46678925
Kenya,KEN,2020,50.31080246
Kiribati,KIR,2020,50.81961823
Kuwait,KWT,2020,38.77982712
